ID;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators
326;Китай-город, вход-выход 3 в северный вестибюль;37.6309849;55.7567672;Китай-город;Калужско-Рижская линия;4;4;
331;Китай-город, вход-выход 8 в северный вестибюль;37.6316766;55.7573154;Китай-город;Калужско-Рижская линия;4;4;
327;Китай-город, вход-выход 4 в северный вестибюль;37.6312698;55.7568819;Китай-город;Калужско-Рижская линия;4;4;
330;Китай-город, вход-выход 7 в северный вестибюль;37.6319506;55.7572362;Китай-город;Калужско-Рижская линия;4;4;
322;Китай-город, вход-выход 6 в южный вестибюль;37.6331045;55.7531976;Китай-город;Калужско-Рижская линия;4;4;
321;Китай-город, вход-выход 5 в южный вестибюль;37.6336406;55.7531116;Китай-город;Калужско-Рижская линия;4;4;
317;Китай-город, вход-выход 1 из южного вестибюля;37.6341765;55.7541345;Китай-город;Калужско-Рижская линия;;;
318;Китай-город, вход-выход 2 в южный вестибюль;37.6349733;55.7540238;Китай-город;Калужско-Рижская линия;4;4;
325;Китай-город, вход-выход 2 в северный вестибюль;37.6296491;55.756604;Китай-город;Калужско-Рижская линия;4;4;
280;Калужская, вход-выход 6 в южный вестибюль;37.5392381;55.6553856;Калужская;Калужско-Рижская линия;4;4;
447;Братиславская, вход-выход 2 в северный вестибюль;37.7526435;55.660114;Братиславская;Люблинско-Дмитровская линия;2;2;
446;Братиславская, вход-выход 1 в северный вестибюль;37.7517426;55.6600507;Братиславская;Люблинско-Дмитровская линия;2;2;
91;Бульвар адмирала Ушакова, вход-выход в вестибюль;37.5416454;55.5450107;Бульвар адмирала Ушакова;Бутовская линия Лёгкого метро;2;2;
502;Бульвар Дмитрия Донского, вход-выход 4 в северный вестибюль;37.5764394;55.5702548;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;6;6;
501;Бульвар Дмитрия Донского, вход-выход 3 в северный вестибюль;37.5771475;55.5700929;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;6;6;
89;Бунинская аллея, вход-выход в вестибюль;37.5149399;55.5376805;Бунинская аллея;Бутовская линия Лёгкого метро;3;3;
383;Варшавская, вход-выход 2 в южный вестибюль;37.61792;55.653075;Варшавская;Каховская линия;3;3;
384;Варшавская, вход-выход 1 в северный вестибюль;37.6207903;55.6532132;Варшавская;Каховская линия;4;4;27.04.2018-31.05.2018
277;Калужская, вход-выход 3 в южный вестибюль;37.5402196;55.6563232;Калужская;Калужско-Рижская линия;4;4;
281;Калужская, вход-выход 1 в северный вестибюль;37.5409869;55.6581538;Калужская;Калужско-Рижская линия;3;3;
151;Кантемировская, вход-выход 1 в южный вестибюль;37.6571455;55.6346647;Кантемировская;Замоскворецкая линия;3;3;
